plant_ID,leaf_ID,disease_type,chamber_ID,shelf_ID,timing,DAI.len.000,DAI.len.001,DAI.len.002,DAI.len.003,DAI.len.004,DAI.len.005,DAI.len.006,DAI.len.007,DAI.len.008,DAI.len.009,DAI.len.010,DAI.len.011,DAI.len.012,DAI.len.013,DAI.len.014,DAI.len.015,DAI.len.016,DAI.len.017,DAI.len.018,DAI.len.019,DAI.len.020,DAI.len.021,DAI.len.022,DAI.len.023,DAI.len.024,Censor_prethx,Death_prethx,Censor_postthx,Death_postthx
10,A,L,e,b,rs1cc1,0,1,NA,1.2,1.2,1.2,1.3,1.2,NA,1.4,2.5,2.6,2.8,NA,NA,2.4,NA,1.3,2.5,NA,2.4,NA,NA,NA,NA,0,24,1,34
10,B,L,e,b,rs1cc1,0,0.3,NA,0.7,0.9,0.9,1,0.9,NA,2.1,2.2,2.2,2.3,NA,NA,2.3,NA,2.3,2.3,NA,2.3,NA,NA,NA,NA,0,24,0,34
11,A,L,e,b,rs1cc1,0,1.4,NA,3.5,3.7,3.9,6.1,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,1,9
11,B,L,e,b,rs1cc1,0,0,NA,1.1,1.3,1.2,1.2,1.2,NA,1.2,1.1,1.1,1.7,NA,NA,1.5,NA,1.6,1.6,NA,1.2,NA,NA,NA,NA,0,24,0,34
12,A,L,b,b,rs1cc1,0,0.3,NA,1.1,NA,1.4,1.6,1.4,NA,2.4,2.8,2.7,2.6,NA,NA,1.7,NA,2.5,2.4,NA,2.4,NA,NA,NA,NA,0,24,1,34
12,B,L,b,b,rs1cc1,0,0,NA,2,NA,3.8,5.7,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,1,9
13,A,L,b,t,rs1cc1,0,1,NA,1.5,1.7,1.9,1.8,1.8,NA,1.6,2,,,NA,NA,2,NA,4.3,NA,NA,2,NA,NA,NA,NA,0,24,0,34
13,B,L,b,t,rs1cc1,0,0.6,NA,1.1,1.3,1.5,1.6,3.9,NA,,4.5,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,1,12
15,A,L,e,t,rs1cc1,0,0.6,NA,3.7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,5
15,B,L,e,t,rs1cc1,0,0,NA,0.6,0.7,0.8,1.3,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,1,9
16,A,L,e,t,rs1cc1,0,0.6,NA,1.8,2.1,1.9,2,2,NA,1.9,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,1,11
16,B,L,e,t,rs1cc1,0,1.2,NA,2.5,2.4,2.6,2.7,3.1,NA,2.9,3.3,3.5,3.3,NA,NA,3.5,NA,3.6,3.9,NA,3.5,NA,NA,NA,NA,0,24,1,34
17,A,L,b,b,rs1cc1,0,0.4,NA,1.2,1.1,1.4,1.2,1.3,NA,1.4,1.3,1.3,1.3,NA,NA,1.3,NA,1.3,1.4,NA,1.8,NA,NA,NA,NA,0,24,1,34
17,B,L,b,b,rs1cc1,0,1.1,NA,1.6,1.9,1.8,1.3,1.7,NA,1.8,2.1,2.3,2.3,NA,NA,1.7,NA,1.5,NA,NA,NA,NA,NA,NA,NA,1,18,1,18
